"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","",""
"3","PC14-OSC32_IN","I/O","",""
"4","PC15-OSC32_OUT","I/O","",""
"5","PH0-OSC_IN","I/O","RCC_OSC_IN",""
"6","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"7","NRST","Reset","",""
"8","PC0","I/O","USB_OTG_HS_ULPI_STP",""
"9","PC1","I/O","",""
"10","PC2","I/O","USB_OTG_HS_ULPI_DIR",""
"11","PC3","I/O","USB_OTG_HS_ULPI_NXT",""
"12","VSSA","Power","",""
"13","VREF+","Power","",""
"14","PA0-WKUP","I/O","ADC1_IN0",""
"15","PA1","I/O","",""
"16","PA2","I/O","",""
"17","PA3","I/O","USB_OTG_HS_ULPI_D0",""
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","I/O","",""
"21","PA5","I/O","USB_OTG_HS_ULPI_CK",""
"22","PA6","I/O","SPI1_MISO",""
"23","PA7","I/O","SPI1_MOSI",""
"24","PC4","I/O","",""
"25","PB0","I/O","USB_OTG_HS_ULPI_D1",""
"26","PB1","I/O","USB_OTG_HS_ULPI_D2",""
"27","PB2","I/O","",""
"28","PB10","I/O","USB_OTG_HS_ULPI_D3",""
"29","PB11","I/O","USB_OTG_HS_ULPI_D4",""
"30","VCAP_1","Power","",""
"31","VSS","Power","",""
"32","VDD","Power","",""
"33","PB12","I/O","USB_OTG_HS_ULPI_D5",""
"34","PB13","I/O","USB_OTG_HS_ULPI_D6",""
"35","PB14","I/O","SPI2_MISO",""
"36","PB15","I/O","SPI2_MOSI",""
"37","PC6","I/O","",""
"38","PC7","I/O","",""
"39","PC8","I/O","",""
"40","PC9","I/O","",""
"41","PA8","I/O","",""
"42","PA9","I/O","SPI2_SCK",""
"43","PA10","I/O","",""
"44","PA11","I/O","USB_OTG_FS_DM",""
"45","PA12","I/O","USB_OTG_FS_DP",""
"46","PA13","I/O","SYS_JTMS-SWDIO",""
"47","VSS","Power","",""
"48","VDD","Power","",""
"49","PA14","I/O","SYS_JTCK-SWCLK",""
"50","PA15","I/O","",""
"51","PC10","I/O","USART3_TX",""
"52","PC11","I/O","USART3_RX",""
"53","PC12","I/O","",""
"54","PD2","I/O","",""
"55","PB3","I/O","SPI1_SCK",""
"56","PB4","I/O","",""
"57","PB5","I/O","USB_OTG_HS_ULPI_D7",""
"58","PB6","I/O","USART1_TX",""
"59","PB7","I/O","USART1_RX",""
"60","BOOT0","Boot","",""
"61","PB8","I/O","",""
"62","PB9","I/O","",""
"63","VSS","Power","",""
"64","VDD","Power","",""
